y,mw,datum_mw,verein,age
150000,€150k,"Sep 24, 2015",Blackburn Rovers,20
150000,€150k,"Apr 20, 2016",Blackburn Rovers,20
150000,€150k,"Sep 1, 2016",Blackburn Rovers,20
150000,€150k,"Feb 27, 2017",Blackburn Rovers,21
350000,€350k,"Sep 24, 2018",Blackburn Rovers,23
1000000,€1.00m,"Feb 27, 2019",Blackburn Rovers,23
1500000,€1.50m,"Jun 28, 2019",Blackburn Rovers,23
2500000,€2.50m,"Oct 17, 2019",Brentford FC,24
5000000,€5.00m,"Feb 27, 2020",Brentford FC,24
4000000,€4.00m,"Apr 8, 2020",Brentford FC,24
7000000,€7.00m,"Oct 15, 2020",Brentford FC,25
9000000,€9.00m,"Dec 22, 2020",Brentford FC,25
12000000,€12.00m,"Mar 10, 2021",Brentford FC,25
14000000,€14.00m,"Jun 30, 2021",Brentford FC,25
18000000,€18.00m,"Oct 5, 2021",Brentford FC,26
18000000,€18.00m,"Dec 23, 2021",Brentford FC,26
22000000,€22.00m,"Jun 15, 2022",Brentford FC,26
22000000,€22.00m,"Nov 3, 2022",Brentford FC,27
25000000,€25.00m,"Mar 16, 2023",Brentford FC,27
30000000,€30.00m,"Jun 20, 2023",Brentford FC,27
32000000,€32.00m,"Oct 9, 2023",Arsenal FC,28
35000000,€35.00m,"Dec 19, 2023",Arsenal FC,28
35000000,€35.00m,"May 27, 2024",Arsenal FC,28
40000000,€40.00m,"Dec 16, 2024",Arsenal FC,29
40000000,€40.00m,"May 30, 2025",Arsenal FC,29
